state,county,ctyname,POPESTIMATE2011
01,001,Autauga County,55267
01,003,Baldwin County,186717
01,005,Barbour County,27119
01,007,Bibb County,22766
01,009,Blount County,57677
01,011,Bullock County,10542
01,013,Butler County,20650
01,015,Calhoun County,117797
01,017,Chambers County,33939
01,019,Cherokee County,26057
01,021,Chilton County,43895
01,023,Choctaw County,13609
01,025,Clarke County,25695
01,027,Clay County,13862
01,029,Cleburne County,14835
01,031,Coffee County,50526
01,033,Colbert County,54512
01,035,Conecuh County,13105
01,037,Coosa County,10713
01,039,Covington County,38058
01,041,Crenshaw County,13911
01,043,Cullman County,80536
01,045,Dale County,50044
01,047,Dallas County,43332
01,049,DeKalb County,71375
01,051,Elmore County,80162
01,053,Escambia County,38095
01,055,Etowah County,104303
01,057,Fayette County,17182
01,059,Franklin County,31884
01,061,Geneva County,26781
01,063,Greene County,8921
01,065,Hale County,15421
01,067,Henry County,17412
01,069,Houston County,102369
01,071,Jackson County,53291
01,073,Jefferson County,658931
01,075,Lamar County,14311
01,077,Lauderdale County,92781
01,079,Lawrence County,34117
01,081,Lee County,143468
01,083,Limestone County,85369
01,085,Lowndes County,11147
01,087,Macon County,21182
01,089,Madison County,340111
01,091,Marengo County,20692
01,093,Marion County,30663
01,095,Marshall County,94166
01,097,Mobile County,412577
01,099,Monroe County,22760
01,101,Montgomery County,232032
01,103,Morgan County,119953
01,105,Perry County,10373
01,107,Pickens County,19349
01,109,Pike County,32915
01,111,Randolph County,22787
01,113,Russell County,54572
01,115,St. Clair County,84398
01,117,Shelby County,197936
01,119,Sumter County,13478
01,121,Talladega County,81664
01,123,Tallapoosa County,41623
01,125,Tuscaloosa County,197211
01,127,Walker County,66661
01,129,Washington County,17344
01,131,Wilcox County,11482
01,133,Winston County,24327
02,013,Aleutians East Borough,3172
02,016,Aleutians West Census Area,5504
02,020,Anchorage Municipality,295570
02,050,Bethel Census Area,17416
02,060,Bristol Bay Borough,1030
02,068,Denali Borough,1855
